City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,westerland,54.9079,8.3033,33.03,100,100,3.44,DE,1677631563
1,san carlos de bariloche,-41.1456,-71.3082,62.35,55,20,14.97,AR,1677631542
2,chokurdakh,70.6333,147.9167,-29.63,99,95,3.38,RU,1677631579
3,podlesnoye,51.8161,47.009,21.52,91,100,13.87,RU,1677631584
4,laem sing,12.4816,102.0738,82.42,82,94,9.4,TH,1677631590
5,pochutla,15.7432,-96.4661,84.02,69,9,3.53,MX,1677631595
6,broome,42.2506,-75.833,36.66,86,100,8.05,US,1677631601
7,mananjary,-21.2167,48.3333,72.64,90,65,2.82,MG,1677631606
8,castro,-24.7911,-50.0119,61.23,98,18,4.61,BR,1677631611
9,edson,53.5835,-116.4356,14.14,85,100,9.22,CA,1677631511
10,jamestown,42.097,-79.2353,34.02,91,100,8.05,US,1677631622
11,butaritari,3.0707,172.7902,81.93,75,42,14.63,KI,1677631627
12,mataura,-46.1927,168.8643,65.48,46,100,3.85,NZ,1677631152
13,atuona,-9.8,-139.0333,80.22,77,6,15.59,PF,1677631266
14,sitka,57.0531,-135.33,30.09,59,75,4.61,US,1677631643
15,airai,-8.9266,125.4092,62.29,96,100,4.12,TL,1677631288
16,hofn,64.2539,-15.2082,38.07,58,100,12.68,IS,1677631653
17,ushuaia,-54.8,-68.3,42.46,75,40,21.85,AR,1677630997
18,chumikan,54.7183,135.315,3.85,82,22,17.94,RU,1677631663
19,hobart,-42.8794,147.3294,68.25,51,40,20.71,AU,1677631072
20,buala,-8.145,159.5921,81.36,84,100,17.07,SB,1677631679
21,chuy,-33.6971,-53.4616,69.87,79,68,1.07,UY,1677631148
22,ribeira grande,38.5167,-28.7,62.78,95,17,21.99,PT,1677631689
23,severo-kurilsk,50.6789,156.125,24.73,89,100,6.69,RU,1677631695
24,yar-sale,66.8333,70.8333,-19.8,100,99,3.0,RU,1677631701
25,busselton,-33.65,115.3333,73.27,53,0,13.65,AU,1677631706
26,zhigansk,66.7697,123.3711,-29.09,100,100,2.01,RU,1677631712
27,san cristobal,7.7669,-72.225,75.38,81,32,2.24,VE,1677631717
28,kodiak,57.79,-152.4072,35.11,87,100,4.61,US,1677631175
29,carnarvon,-24.8667,113.6333,86.27,54,85,6.26,AU,1677631727
30,los llanos de aridane,28.6585,-17.9182,60.55,87,0,8.01,ES,1677631733
31,port hardy,50.6996,-127.4199,39.38,65,40,8.05,CA,1677631738
32,yarada,17.65,83.2667,64.72,100,0,2.3,IN,1677631743
33,bluff,-46.6,168.3333,66.31,60,100,0.98,NZ,1677631749
34,new norfolk,-42.7826,147.0587,67.91,48,26,11.01,AU,1677631754
35,albany,42.6001,-73.9662,33.89,89,35,4.97,US,1677631591
36,punta arenas,-53.15,-70.9167,44.71,76,20,21.85,CL,1677631465
37,aklavik,68.2191,-135.0107,-14.8,76,20,4.61,CA,1677631769
38,srinagar,34.0833,74.8167,43.03,93,100,2.93,IN,1677631775
39,kaka,37.3482,59.6143,47.98,38,0,5.06,TM,1677631780
40,sterling,39.0062,-77.4286,53.17,71,0,10.36,US,1677631759
41,upernavik,72.7868,-56.1549,3.13,95,100,9.69,GL,1677631791
42,ginda,30.6945,78.4932,49.8,51,100,5.35,IN,1677631796
43,norman wells,65.282,-126.8329,-5.76,71,0,5.75,CA,1677631801
44,hermanus,-34.4187,19.2345,64.8,84,99,8.37,ZA,1677631282
45,riyadh,24.6877,46.7219,64.54,44,81,4.5,SA,1677631269
46,rikitea,-23.1203,-134.9692,80.6,74,3,13.15,PF,1677631817
47,santa rosa,14.3122,121.1114,85.08,69,43,12.35,PH,1677631827
48,leh,34.1667,77.5833,9.55,93,93,3.22,IN,1677631833
49,barrow,71.2906,-156.7887,-14.78,76,75,12.66,US,1677631838
50,bom jesus,-9.0744,-44.3586,78.89,56,50,1.54,BR,1677631843
51,faanui,-16.4833,-151.75,81.21,77,96,7.72,PF,1677631849
52,dikson,73.5069,80.5464,-10.62,98,19,8.19,RU,1677631854
53,wasilla,61.5814,-149.4394,28.02,81,100,23.02,US,1677631670
